MAN FV-328404 =  10.0 %  -> m775 pv 0.5065 m3/h,  TIC-328008 pv = 46.620616 mol%,  D001 P = 2.56918 bar
MAN FV-328404 =  90.0 %  -> m775 pv 4.5587 m3/h,  TIC-328008 pv = 44.552309 mol%,  D001 P = 2.73022 bar

restored: FV 29.833 %  TIC pv 47.785545  op 1677.74 kg/h  D001P 2.48458

SP 46.2100 -> 43.8995 mol%   op_hi = 4000.0
     t_s   TIC_op_kgh    FV404_%   FIC404_sp   FIC404_pv   m775_kgh
      60      1808.14     31.829     1.65127     1.60260     1765.3
     300      2253.15     40.026     2.05767     2.01995     2220.0
     900      2690.20     48.397     2.45681     2.45005     2684.3
    1800      3486.23     62.264     3.18377     3.14645     3453.4
    3600      4000.00     72.119     3.65297     3.65297     4000.0
    5400      4000.00     72.119     3.65297     3.65297     4000.0
    7200      4000.00     72.119     3.65297     3.65297     4000.0
    9000      4000.00     72.119     3.65297     3.65297     4000.0
   10800      4000.00     72.119     3.65297     3.65297     4000.0

SATURATED AT op_hi
