==========================================================================================
hold 100%  FLAGS: []
sig                   min          max          end    revs
Load             100.0000     100.0000     100.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0230       2.0230       0
X                 54.3000      54.3000      54.3000       0
T_react          182.9000     182.9000     182.9000       0
L_react           80.0000      80.0000      80.0000       0
eta_T              1.0000       1.0000       1.0000       0
T_bot            172.0000     172.0000     172.0000       0
LI_501            50.0000      50.0000      50.0000       0
LV_501            46.1000      46.1000      46.1000       0
HPCC_L            49.7000      50.0000      49.7000       0
HPCC_T           170.0000     170.0000     170.0000       0
EJ_suct        53368.3000   53368.3000   53368.3000       0
SCR_L             50.0000      50.0000      50.0000       0
urea_bot         130.4800     130.4800     130.4800       0
pumpB            127.0000     127.0000     127.0000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2100      46.2100      46.2100       0
T328008_op      1675.0000    1675.0000    1675.0000       0
F328404_op        30.2000      30.2000      30.2000       0
F328404_pv         1.5297       1.5297       1.5297       0
F328404_sp         1.5297       1.5297       1.5297       0
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       139127.9980  139128.0000  139127.9980       0
CompI_T           56.0000      56.0000      56.0000       0
D001_P             2.6000       2.6000       2.6000       0
==========================================================================================
ramp->70%  FLAGS: []
sig                   min          max          end    revs
Load              70.0000     100.0000      70.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0400       2.0230       1
X                 53.5100      54.5100      53.5100       1
T_react          179.6000     182.9000     179.6000       0
L_react            0.0000      80.8000       0.0000       1
eta_T              0.9910       1.0317       1.0190       4
T_bot            172.0000     188.7000     188.7000       0
LI_501            49.9000      50.2000      49.9000       4
LV_501            44.1000      47.3000      44.1000       2
HPCC_L            49.7000      76.3000      76.3000       0
HPCC_T           154.5000     170.9000     154.5000       1
EJ_suct        37142.4000   53368.3000   37336.9000       1
SCR_L             49.7000      50.0000      50.0000       1
urea_bot         125.5700     132.9200     125.5700       6
pumpB             88.9000     127.0000      88.9000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2097      46.2101      46.2098       2
T328008_op      1674.9361    1675.0205    1674.9366       2
F328404_op        30.1989      30.2004      30.1989       2
F328404_pv         1.5296       1.5297       1.5296       2
F328404_sp         1.5296       1.5297       1.5296       2
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       139126.8596  139130.4228  139128.3828       2
CompI_T           55.9999      56.0002      56.0000       2
D001_P             2.6000       2.6000       2.6000       2
==========================================================================================
hold 70%  FLAGS: ['CARBAMATE_CRYST_WARN']
sig                   min          max          end    revs
Load              70.0000      70.0000      70.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0230       2.0230       0
X                 53.1400      53.5100      53.1400       0
T_react          163.5000     179.6000     163.5000       0
L_react            0.0000       0.0000       0.0000       0
eta_T              1.0046       1.0190       1.0046       0
T_bot            188.7000     201.6000     201.6000       0
LI_501            49.9000      50.0000      50.0000       0
LV_501            37.2000      44.1000      37.2000       0
HPCC_L            69.1000      76.3000      69.1000       0
HPCC_T           150.9000     154.5000     150.9000       0
EJ_suct        37336.9000   37357.8000   37357.8000       0
SCR_L             50.0000      50.0000      50.0000       0
urea_bot         106.7500     125.5700     106.7500       0
pumpB             88.9000      88.9000      88.9000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2098      46.2123      46.2122       1
T328008_op      1674.9366    1677.8193    1677.8195       0
F328404_op        30.1989      30.2504      30.2504       0
F328404_pv         1.5296       1.5322       1.5322       0
F328404_sp         1.5296       1.5323       1.5323       0
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       138959.9255  139128.3818  138959.9183       0
CompI_T           55.9883      56.0000      55.9883       0
D001_P             2.5998       2.6000       2.5998       1
==========================================================================================
ramp->50%  FLAGS: ['CARBAMATE_CRYST_WARN']
sig                   min          max          end    revs
Load              50.0000      70.0000      50.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0390       2.0230       1
X                 52.9700      53.3900      52.9700       1
T_react          158.5000     163.5000     158.5000       0
L_react            0.0000       0.0000       0.0000       0
eta_T              0.9945       1.0046       0.9975       2
T_bot            201.6000     205.9000     205.9000       0
LI_501            49.9000      50.0000      49.9000       4
LV_501            33.3000      37.2000      33.3000       0
HPCC_L            68.9000      97.8000      97.8000       1
HPCC_T           146.9000     150.9000     146.9000       0
EJ_suct        26555.1000   37357.8000   26659.5000       1
SCR_L             49.7000      50.0000      50.0000       1
urea_bot          95.3200     106.7500      95.3200       4
pumpB             63.5000      88.9000      63.5000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
